Configuración,Época,Loss Train,Loss Val,Acc Train,Acc Val
2L-16N-lr0.01,15,0.8594673275947571,1.11576509475708,0.6262626051902771,0.59375
2L-16N-lr0.01,16,0.8517475128173828,1.1212656497955322,0.6212121248245239,0.59375
2L-16N-lr0.01,17,0.8443058729171753,1.1147112846374512,0.6262626051902771,0.59375
2L-16N-lr0.01,18,0.840429425239563,1.115206241607666,0.6414141654968262,0.59375
2L-16N-lr0.01,19,0.8316364288330078,1.109365463256836,0.6414141654968262,0.59375
2L-16N-lr0.01,20,0.8268834948539734,1.1062839031219482,0.6363636255264282,0.59375
2L-16N-lr0.01,21,0.8211556077003479,1.1095017194747925,0.631313145160675,0.59375
2L-16N-lr0.01,22,0.8121793270111084,1.108167290687561,0.6464646458625793,0.59375
2L-16N-lr0.01,23,0.8091208934783936,1.0985007286071777,0.631313145160675,0.625
2L-16N-lr0.01,24,0.8008139133453369,1.1035025119781494,0.6616161465644836,0.59375
2L-16N-lr0.01,25,0.7975789308547974,1.1075012683868408,0.6363636255264282,0.59375
2L-32N-lr0.001,1,1.8026682138442993,1.75600266456604,0.15656565129756927,0.1875
2L-32N-lr0.001,2,1.7194881439208984,1.714898705482483,0.2525252401828766,0.25
2L-32N-lr0.001,3,1.654257893562317,1.6784530878067017,0.3333333432674408,0.25
2L-32N-lr0.001,4,1.594038724899292,1.6433473825454712,0.3888888955116272,0.3125
2L-32N-lr0.001,5,1.536081314086914,1.6084747314453125,0.4141414165496826,0.3125
2L-32N-lr0.001,6,1.4798762798309326,1.5684194564819336,0.4595959484577179,0.3125
2L-32N-lr0.001,7,1.4231016635894775,1.5223603248596191,0.4848484992980957,0.375
2L-32N-lr0.001,8,1.365319013595581,1.4724515676498413,0.5050504803657532,0.375
2L-32N-lr0.001,9,1.3088053464889526,1.422853708267212,0.5202020406723022,0.40625
2L-32N-lr0.001,10,1.2541160583496094,1.3725345134735107,0.5454545617103577,0.40625
2L-32N-lr0.001,11,1.201125979423523,1.3250775337219238,0.5404040217399597,0.40625
2L-32N-lr0.001,12,1.1525322198867798,1.2851107120513916,0.5404040217399597,0.375
2L-32N-lr0.001,13,1.110918402671814,1.251080870628357,0.5404040217399597,0.375
2L-32N-lr0.001,14,1.076599359512329,1.2235262393951416,0.5454545617103577,0.40625
2L-32N-lr0.001,15,1.0486595630645752,1.2019366025924683,0.5505050420761108,0.40625
2L-32N-lr0.001,16,1.0257041454315186,1.185326099395752,0.5555555820465088,0.375
